WL	SiCnofilter	SiB1nofilter	SiDnofilter	SiEfilterno
587	3054163.883	2983017.307	3051372.052	2726792.597
588	3066297.031	2994828.651	3062638.207	2739648.648
589	3079251.119	3007481.268	3074332.561	2749419.261
590	3092845.49	3020917.514	3087720.802	2760782.419
591	3098480.888	3026541.478	3092240.165	2773629.546
592	3112146.639	3039710.481	3105168.457	2785213.074
593	3124326.801	3051440.469	3116995.025	2798886.397
594	3138625.248	3065479.888	3130578.788	2807470.142
595	3154260.734	3080851.508	3145728.524	2819432.383
596	3164721.117	3090826.51	3155915.925	2832567.687
597	3170400.557	3096586.638	3160507.354	2841026.557
598	3184647.956	3109843.849	3174157.326	2853627.299
599	3197083.023	3122681.619	3186446.585	2867707.231
600	3210359.837	3135696.421	3199210.309	2876233.418
601	3226371.833	3151122.481	3214488.166	2890686.396
602	3235418.119	3160775.93	3223244.701	2902531.092
603	3240145.479	3165578.651	3226776.551	2910578.592
604	3253317.792	3178387.159	3239359.317	2924042.975
605	3266250.545	3190705.71	3251703.569	2931129.158
606	3277581.292	3201916.604	3262803.519	2943916.946
607	3291267.341	3215349.349	3275489.169	2957036.998
608	3305892.126	3229648.401	3289644.446	2965940.201
609	3315814.699	3239603.538	3299319.522	2980014.987
610	3320838.546	3244240.392	3304018.587	2991336.724
611	3335585.904	3258763.823	3317508.7	3001386.544
612	3346578.973	3269800.65	3328356.155	3016059.103
613	3360874.371	3284065.437	3342408.589	3023974.76
614	3376180.676	3298855.441	3356883.323	3038514.639
615	3389909.682	3312714.214	3370566.143	3052091.157
616	3403133.707	3325583.285	3382478.187	3062035.488
617	3416500.518	3338838.482	3395415.891	3076693.109
618	3422480.077	3344770.893	3401185.567	3089757.772
619	3438718.79	3360687.436	3416988.814	3099593.93
620	3451894.227	3373638.466	3429778.82	3113855.143
621	3466840.18	3388461.436	3443640.705	3124185.538
622	3479090.905	3400493.445	3455480.763	3138280.58
623	3485190.153	3406541.859	3461141.676	3151217.75
624	3499152.876	3420046.559	3474910.479	3160885.044
625	3511453.541	3432508.896	3486300.673	3175552.115
626	3525533.126	3446272.17	3500403.904	3186353.534
627	3541501.235	3462163.508	3515435.253	3200407.564
628	3553020.361	3473669.417	3526938.542	3210825.032
629	3567107.89	3487550.887	3540487.721	3226029.837
630	3573375.528	3493946.579	3546388.581	3236143.447
631	3585863.267	3506396.208	3558217.048	3249186.463
632	3599060.893	3519439.93	3571043.063	3261215.688
633	3611490.965	3532072.839	3582952.173	3271732.485
634	3623959.531	3544544.662	3595128.695	3284557.483
635	3637592.87	3557868.367	3608486.892	3293855.549
636	3649534.596	3569508.368	3619993.564	3307696.569
637	3654721.274	3575081.481	3624671.735	3318554.373
638	3668707.754	3588939.752	3638143.969	3327119.695
639	3680799.104	3600685.144	3649453.172	3340782.236
640	3693198.539	3613096.576	3661832.631	3352563.069
641	3708693.971	3628450.987	3676937.852	3364195.364
642	3721598.864	3641128.774	3688959.836	3378131.29
643	3734980.337	3654516.188	3701977.337	3391974.2
644	3749157.393	3668617.682	3716036.757	3403658.505
645	3755434.586	3675213.12	3722101.447	3417004.881
646	3769490.009	3689097.132	3735758.416	3427684.194
647	3782967.809	3702227.487	3749070.33	3441708.876
648	3797522.419	3716962.688	3763242.377	3453446.749
649	3810849.23	3730222.483	3776147.562	3467353.232
650	3817354.925	3736740.96	3782171.762	3481718.869
651	3831638.864	3750664.833	3796226.22	3492297.751
652	3845916.818	3764912.999	3810016.76	3507839.619
653	3859900.501	3778701.002	3823669.377	3519516.262
654	3874488.433	3793476.429	3838040.11	3529029.258
655	3888034.831	3806876.462	3851034.696	3546753.382
656	3901073.978	3819954.78	3863597.287	3557732.133
657	3915325.22	3834007.119	3877519.102	3570357.866
658	3929268.357	3848073.073	3891333.162	3585956.885
659	3936181.609	3854720.676	3897661.181	3596658.202
660	3948576.37	3867025.06	3909694.049	3608178.188
661	3962756.264	3881118.64	3923894.196	3619625.46
662	3974248.92	3892753.857	3935028.741	3633425.112
663	3987740.823	3906403.069	3948244.611	3643693.934
664	3999974.062	3918688.572	3960103.841	3655697.84
665	4013021.82	3931512.097	3972815.08	3669717.617
666	4025826.106	3944335.389	3985483.713	3683891.62
667	4036338.095	3954979.366	3995769.073	3692043.099
668	4042096.66	3961103.503	4001113.24	3705880.442
669	4055193.048	3974005.343	4014083.996	3717060.549
670	4069072.009	3987809.384	4027569.042	3730059.779
671	4082142.966	4000429.015	4040526.762	3743192.438
672	4094855.459	4013434.007	4052702.205	3754127.325
